,lang,task,pattern,TP,FP,TN,FN,P,R,F1
134,ja_fam,temporal1,P1|P2|NEG|N2,67,13,527,23,0.8375,0.7444444444444445,0.788235294117647
135,ja_fam,temporal1,P1|P2|NEG|N1|N2,67,6,534,23,0.9178082191780822,0.7444444444444445,0.8220858895705521
136,ja_fam,temporal2,P1,58,141,413,0,0.2914572864321608,1.0,0.45136186770428016
137,ja_fam,temporal2,P1|N1,56,70,484,2,0.4444444444444444,0.9655172413793104,0.6086956521739131
138,ja_fam,temporal2,P1|N2,56,103,451,2,0.3522012578616352,0.9655172413793104,0.5161290322580645
139,ja_fam,temporal2,P1|N1|N2,56,60,494,2,0.4827586206896552,0.9655172413793104,0.6436781609195403
140,ja_fam,temporal2,P1|P2|NEG,55,28,526,3,0.6626506024096386,0.9482758620689655,0.7801418439716312
141,ja_fam,temporal2,P1|P2|NEG|N1,53,12,542,5,0.8153846153846154,0.9137931034482759,0.8617886178861788
142,ja_fam,temporal2,P1|P2|NEG|N2,53,26,528,5,0.6708860759493671,0.9137931034482759,0.7737226277372264
143,ja_fam,temporal2,P1|P2|NEG|N1|N2,53,10,544,5,0.8412698412698413,0.9137931034482759,0.8760330578512397
144,ja_fam,comparative1,P1|NEG,65,129,454,0,0.33505154639175255,1.0,0.5019305019305019
145,ja_fam,comparative1,P1|NEG|N1,65,43,540,0,0.6018518518518519,1.0,0.7514450867052023
146,ja_fam,comparative1,P1|NEG|N2,65,4,579,0,0.9420289855072463,1.0,0.9701492537313433
147,ja_fam,comparative1,P1|NEG|N1|N2,65,2,581,0,0.9701492537313433,1.0,0.9848484848484849
148,ja_fam,comparative1,P1|P2|NEG,12,7,576,53,0.631578947368421,0.18461538461538463,0.2857142857142857
149,ja_fam,comparative1,P1|P2|NEG|N1,12,2,581,53,0.8571428571428571,0.18461538461538463,0.3037974683544304
150,ja_fam,comparative1,P1|P2|NEG|N2,12,2,581,53,0.8571428571428571,0.18461538461538463,0.3037974683544304
151,ja_fam,comparative1,P1|P2|NEG|N1|N2,12,0,583,53,1.0,0.18461538461538463,0.3116883116883117
152,ja_fam,comparative2,P1|NEG,34,36,542,0,0.4857142857142857,1.0,0.6538461538461539
153,ja_fam,comparative2,P1|NEG|N1,33,32,546,1,0.5076923076923077,0.9705882352941176,0.6666666666666666
154,ja_fam,comparative2,P1|P2|NEG,17,5,573,17,0.7727272727272727,0.5,0.6071428571428571
155,ja_fam,comparative2,P1|P2|NEG|N1,17,4,574,17,0.8095238095238095,0.5,0.6181818181818182
156,ja_fam,counters,P1|NEG,8,0,592,0,1.0,1.0,1.0
157,ja_fam,counters,P1|NEG|N1,8,0,592,0,1.0,1.0,1.0
158,ja_fam,counters,P1|P2|NEG,0,0,592,8,0.0,0.0,0.0
159,ja_fam,counters,P1|P2|NEG|N1,0,0,592,8,0.0,0.0,0.0
